question,answer,category,difficulty
"What are Alexander Anderson's research interests?","Alexander Anderson focuses on developing integrated mathematical models of cancer with both predictive and therapeutic applications. His work examines tumor-microenvironment interactions, cancer evolution, and the multiscale nature of cancer using Hybrid-Discrete Continuum models.",research_interests,easy
"Which researchers work in the Integrated Mathematical Oncology department?","Researchers in the Integrated Mathematical Oncology department include Alexander Anderson and Joel Brown, among others.",department,medium
"What is Anna Giuliano's primary research focus?","Anna Giuliano's research centers on HPV infections and their relationship to various cancers, including cervical, penile, anal, and oral cancers. She is the founding director of the Center for Immunization and Infection Research in Cancer (CIIRC).",research_interests,easy
"Who has published research on melanoma at Moffitt?","Keiran Smalley has published extensively on melanoma, focusing on various subtypes including cutaneous, acral, pediatric, and uveal melanomas, as well as melanoma brain metastases.",publications,medium
"What grants does Eric Haura have from the National Cancer Institute?","Eric Haura has multiple NCI grants including ones focused on developing CDK12 inhibitors for therapy resistance, identifying metabolic vulnerabilities in lung cancer, and overcoming resistance to KRAS inhibitors.",grants,medium
"Where did Matthew Schabath receive his PhD?","Matthew Schabath received his PhD from the University of Texas School of Public Health.",education,easy
"Which researchers focus on lung cancer research?","Researchers focusing on lung cancer include Eric Haura (Thoracic Oncology), Matthew Schabath (Cancer Epidemiology), and Alberto Chiappori (Thoracic Oncology).",cancer_type,medium
"What is Joel Brown's educational background?","Joel Brown received his PhD from the University of Arizona.",education,easy
"Who is affiliated with the Cancer Epidemiology Program?","Researchers affiliated with the Cancer Epidemiology Program include Anna Giuliano and Matthew Schabath, among others.",associations,medium
"What recent publications has Alexander Anderson authored?","Recent publications by Alexander Anderson include work on adaptive therapy timing, evolutionary double-bind treatment in prostate cancer, and spatial interactions modulating tumor growth and immune infiltration.",publications,medium
"Which researchers have both MD and PhD degrees?","Matthew Schabath has both MD and PhD degrees. Ahmad Tarhini also has both MD and PhD degrees.",education,medium
"What is Keiran Smalley's research on uveal melanoma?","Keiran Smalley's research on uveal melanoma focuses on understanding liver tropism and developing therapeutic strategies. His work investigates why 50% of patients develop liver metastasis and uses advanced in vivo models and scRNA-Seq.",research_interests,hard
"Who works in the Drug Discovery department?","Eric Haura works in the Drug Discovery department, focusing on kinase signaling pathways and biomarkers in lung cancer.",department,easy
